[ 2025-11-22 13:06:38,291 ] 20 root - INFO - Initiate the data ingestion
[ 2025-11-22 13:06:43,274 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-11-22 13:06:43,275 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-22 13:06:43,275 ] 75 root - INFO - Exporting train and test file path.
[ 2025-11-22 13:06:43,316 ] 84 root - INFO - Exported train and test file path.
[ 2025-11-22 13:06:43,316 ] 22 root - INFO - Data Initiation Completed
[ 2025-11-22 13:06:43,325 ] 26 root - INFO - Initiate the data Validation
[ 2025-11-22 13:06:43,341 ] 32 root - INFO - Required number of columns:2
[ 2025-11-22 13:06:43,341 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-22 13:06:43,341 ] 32 root - INFO - Required number of columns:2
[ 2025-11-22 13:06:43,341 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-22 13:06:43,448 ] 28 root - INFO - data Validation Completed
[ 2025-11-22 13:06:43,449 ] 31 root - INFO - data Transformation started
